Station_Name,Train_Count
CST-MUMBAI,1027
KALYAN JN,828
THANE,796
SEALDAH,745
CHENNAI BEAC,738
HOWRAH JN.,699
DADAR,598
DUM DUM JN.,463
KURLA,462
TAMBARAM,434
VIJAYWADA JN,416
GHAT KOPAR,406
BIDHANNAGAR,404
PANVEL,400
MUMBAI (MATU,393
MULUND,393
MUMBAI (BYCU,392
LUCKNOW JN.,385
KANPUR CENTR,382
VADODARA JN.,376
BHANDUP,373
VIKHROLI,370
VIDYAVIHAR,356
NEW DELHI,356
NAHUR,355
MUMBAI(PAREL,346
MUMBAI (MASJ,344
MUMBAI (CHIN,344
MUMBAI CURRE,344
MUMBAI SANDH,344
PERAMBUR,342
BANDEL JN.,325
BARDDHAMAN J,319
SURAT,316
CHENNAI EGMO,309
KHARAGPUR,309
NAIHATI JN.,307
LILUAH,306
AHMEDABAD,305
BALLYGUNGE J,300
BHUSAVAL JN.,298
BELUR,295
VILLIVAKKAM,293
AVADI,291
ITARSI,291
MUGHAL SARAI,291
SECUNDERABAD,288
AMBATTUR,281
PUNE JN.,278
VEYSARPADI,274
AMBALA CANTT,274
BASIN BRIDGE,268
DOMBIVLI,267
MOOR MARKET,267
SHRIRAMPUR,266
SEORAPHULI J,265
DIVA JN,265
BARRACKPORE,264
ASANSOL MAIN,263
GHAZIABAD JN,262
CHENGALPATTU,254
NAGPUR JN.(C,252
BHUBANESWAR,248
KOPAR,248
MUMBRA,248
KALVA,248
JHANSI JN,246
PATNA JN.,246
KATPADI JN,245
HAZRAT NIZAM,245
ANAND JN.,243
DELHI JN.,240
BHOPAL,239
MORADABAD JN,238
UTTARPARA,238
BALLY,238
KHURDA ROAD,236
SONARPUR JN.,235
LUDHIANA JN.,235
KONNAGAR,235
VISAKHAPATNA,233
VELACHEERY,233
RISHRA,233
HINDMOTOR,231
VARANASI JN.,230
THIRUMAYILAI,230
SANTRAGACHI,230
ARAKKONAM JN,227
AMBERNATH,225
RAJAHMUNDRY,220
SODPUR,219
BELGHARIA,219
GORAKHPUR JN,219
JADABPUR,217
GARIA,217
ST. THOMAS M,217
DHAKURIA,217
.BAGHAJATIN,217
KODAMBAKKAM,214
PALLAVARAM,214
ERODE JN.,214
MANMAD JN.,212
MATHURA JN.,212
KHARDAHA,210
AGARPARA,210
SALEM JN.,210
TITA GARH,210
TIRUVALLUR,209
RANAGHAT JN.,207
TRICHUR,206
ALLAHABAD JN,205
GUDUR JN.,203
PATTABIRAM E,202
NARENDRAPUR,200
SHYAM NAGAR,200
ONGOLE,198
RENIGUNTA JN,197
JOLARPETTAI,197
MAMBALAM,196
NELLORE,195
CHENNAI CENT,192
RAVLI JN,192
CUTTACK JN.,189
KOTA,189
ICHHAPUR,188
COIMBATORE,186
KACHEGUDA,186
YESVANTPUR J,186
TIRUNINRAVUR,186
PALTA,186
VASHI,185
THAKURLI,185
THIRUMULLAIV,184
ANNANUR,184
KANKINARA,184
PATTARAVAKKA,184
KORATTUR,184
RAIPUR JN.,183
VIZIANAGARAM,183
JAIPUR JN.,180
BARAUNI JN.,179
QUILON,179
JABALPUR,178
BARASAT JN.,178
NADIAD JN.,177
AGRA CANTT,176
SAMASTIPUR J,173
CHANDAN NAGA,173
CHUCHURA,171
RATLAM JN,171
GUINDY,170
BAREILLY JN.,170
NUNGAMBAKKAM,169
CHENNAI PARK,169
CHENNAI FORT,169
CHENNAI CHET,169
PALAVANTHANG,169
SAIDAPET,169
TIRUSULAM,169
BILASPUR JN.,169
MINAMBAKKAM,169
TAMBARAM SAN,168
CHROMEPET,168
KRANTIVIRA S,167
VAPI,167
KALYANI JN.,166
KANCHRAPARA,166
KATNI,165
ALWAYE,164
KARJAT,164
KIUL JN.,164
DURG,163
SATNA,163
PALAKKAD JN,162
DUMDUM CANTO,161
TIRUPPUR,160
JALANDHAR CI,160
GWALIOR JN,160
LINGAMPALLI,160
BEGAMPET,160
BIRATI,159
MADHYAM GRAM,159
JAGADAL,158
DURGAPUR,158
GAYA JN.,158
LONAVLA,157
JASIDIH JN.,156
SAHARANPUR J,156
BARUIPUR JN.,156
BHARUCH JN.,155
HINDU COLLEG,155
CHHAPRA JN.,155
TITVALA,155
PATTABIRAM W,155
PATNA SAHEB,154
BALHARSHAH,154
SAMALKOT JN.,152
BALASORE,152
KAYANKULAM J,152
NEW JALPAIGU,151
WARANGAL,151
MUZAFFARPUR,149
ELURU,148
HALISAHAR,148
TIRUPATI,147
BINA,147
BADLAPUR,147
TIRUCHIRAPPA,147
MALLIKPUR,146
SUBHASGRAM,146
JALGAON JN.,145
BERHAMPUR,145
DURGANAGAR,144
BHADRESHWAR,144
BAIDYABATI,144
TENALI JN.,143
MANKUNDU,143
HOOGHLY,143
BORIVLI,143
SHORANUR JN.,142
KHANDWA JN.,142
TATANAGAR JN,141
GONDIA JN.,141
ANAND VIHAR,140
LOKMANYA TIL,139
HRIDAYPUR,139
NASIK ROAD,139
VALSAD,139
DAUND JN.,138
NEW BARRACKP,137
ERNAKULAM. J,137
BISHARPARA-K,137
MECHEDA,136
KATIHAR JN.,136
JALANDHAR CA,135
KRISHNA RAJA,135
GONDA JN.,135
SAWAI MADHOP,135
ULUBARIA,134
AKOLA JN.,134
VILLUPURAM J,133
HAJIPUR JN.,133
CHAKDAHA,133
RAMPUR HAT,131
BHADRAKH,130
REWARI JN.,129
PANSKURA,129
KISHANGANJ,129
AJMER JN.,127
AMRITSAR JN.,127
VASAI ROAD,126
NAGDA JN,126
MALDA TOWN,126
KAZIPET JN.,125
JHARSUGUDA J,124
HAFIZPETA,124
UJJAIN JN,124
BAGNAN,122
MADHUPUR JN.,122
BADNERA JN.,122
NEW BONGAIGA,121
GUNTAKAL JN.,121
SIMURALI,121
ERNAKULAM TO,121
SAHIBABAD,121
ROYAPURAM,120
WASHERMANPET,120
SHAHJAHANPUR,119
GUWAHATI,119
MOKAMA JN.,118
FALAKNUMA,118
TUNDLA JN,118
HYDERABAD DE,118
PANIPAT JN.,118
MAHESANA JN,118
BANGARPET JN,117
VEPPAMPATTU,117
PUTTLUR,117
SEVVAPET ROA,117
KOTTAYAM,116
RAJENDRANAGA,116
DANAPUR,115
SOLAPUR,115
MADANPUR,115
PAYRA DANGA,115
VIRAMGAM JN,115
ANDUL,115
MADGOAN JN.,114
ROURKELA,114
BAKHTIYARPUR,114
CALICUT,114
JHAJHA,114
BAURIA JN,114
ARA,113
ULHASNAGAR,113
DANKUNI JN.,113
FARIDABAD,112
DATTAPUKUR,112
BAMANGACHHI,112
DHANBAD JN.,111
JAMMU TAWI,110
UNNAO JN.,110
VITHALWADI,109
HUBLI JN.,109
KANNUR,109
FULESWAR,109
SITAFALMANDI,109
PALPARA,109
CHENGANNUR,108
NATURE CURE,108
FATEHNAGAR,108
PALANPUR JN,108
PALASA,108
BORABANDA,108
BEAS JN,108
BHARATNAGAR,108
CHANDANAGAR,108
GUNTUR JN.,108
HITECH CITY,108
KAMAKHYA JN,107
BARA BANKI J,107
IGATPURI,106
SONPUR JN.,105
TILAK BRIDGE,105
JODHPUR JN.,105
TIRUVALLA,104
TIRUVOTTIYUR,104
TONDIARPET,104
SURENDRANAGA,104
ENNORE,104
KORUKKUPET,104
SHIVAJI BRID,103
CHENGEL,103
MALAKPET,103
BASTI,103
NALPUR,103
SANKRAIL,103
PONNERI,102
DELHI-SHAHDA,102
MADURAI JN,102
MINJUR,102
ADRA,102
JAJPUR KEONJ,102
ATTIPATTU,102
TRIVANDRUM C,102
KOLAGHAT,101
BUXAR,101
DABIR PURA,101
HUPPUGUDA,101
ATTIPATTU PU,101
YAKUT PURA,101
ROHTAK JN.,101
DUVVADA,101
ABU ROAD,100
HABIBGANJ,100
DEULTI,100
PURNA  JN.,100
MAJERHAT,100
SIWAN JN.,99
BANGALORE CA,99
ALIGARH JN.,99
NANDED,99
VIDYA NAGAR,99
PHULERA JN.,99
KHAGARIA JN.,99
ARTS COLLAGE,99
JAMALPUR JN.,99
JAMAI-OSMANI,99
BELAPUR C.B.,99
KOLKATA,99
GUMMIDIPUNDI,98
BANDRA TERMI,98
RAMRAJATALA,98
NSC BOSE J G,98
KULGACHIA,98
BIRSHIBPUR,98
SIRPURKAGHAZ,98
KHAMMAM,98
KALINARAYANP,98
PURI,98
NEW COOCH BE,97
GANGPUR,97
SAKTI GARH J,97
TIKIAPARA,96
BANGAON JN.,96
MERTA ROAD J,96
RAJKOT,96
RATNAGIRI,95
BHARATPUR JN,95
DASHNAGAR,95
RANGIYA JN.,94
DAHANU ROAD,94
INDORE BG,94
MARWAR JN.,94
CHIRALA,94
KAVARAIPPETT,94
KADAMBATTUR,93
GHORAGHATA,93
PATHANKOT CA,93
SRIKAKULAM R,93
WARDHA JN.,92
BARSOI JN.,92
DARBHANGA JN,92
DHARMAVARAM,92
DELHI CANTT,91
BIRA,91
ASHOKNAGAR R,91
HABRA,91
MIDNAPORE,91
GUMA,91
ARSIKERE JN.,91
ANKLESHWAR J,90
KATWA JN.,90
ABADA,90
CHITTARANJAN,90
DINDIGUL JN,90
GURGAON,89
PHAGWARA JN.,89
BOLPUR,89
GOOTY JN.,89
BETUL,88
DAHOD,88
DEORIA SADAR,87
MURI,87
BHOGPUR,87
RANCHI,87
MIRAJ JN.,86
FATUHA,85
NEW FARAKKA,85
NAVSARI,85
NEW ALIPUR (,85
ROORKEE,85
TIRUVALANGAD,85
KURUKSHETRA,84
ANANTAPUR,84
BHATAPARA,84
TADEPALLI GU,84
SHAKUR BASTI,84
GULBARGA,84
HARIDWAR JN,83
PIPARIYA,83
RAJPURA JN.,83
KASARAGOD,83
KODERMA,83
LAKE GARDENS,83
TOLLY GANJ,83
DEHRI-ON-SON,82
FAIZABAD JN.,82
MALKAJGIRI,82
CHANDRAPUR (,82
BATHINDA JN,82
SASARAM,82
PARBHANI JN.,82
RAMGUNDAM,82
LAKSHMIKANTA,81
DELHI-SARAI,81
RAE BARELI J,81
AZIMGANJ JN.,80
TIRUR,80
TUMKUR,80
TIRUNELVELI,79
ANDAL JN.,79
FALNA,79
KATHIVAKKAM,79
WIMCO NAGAR,79
KOPARGAON,79
LUCKEESARAI,78
KRISHNA NAGA,78
BHAGALPUR,78
VASIND,78
MANGALORE JN,78
AMBIVLI,78
BANKURA,78
ASANGAON,78
CHAKARADHARP,78
ANUPPAMBATTU,78
SHAHAD,78
PURULIA JN.,78
KHADAVALI,78
LAKSAR JN.,77
GODHRA JN.,77
WADI JN.,77
MIRZAPUR,77
BALLIA,76
NANDIYAMBAKK,76
RAICHUR,76
AUNRIHAR JN.,76
MYSORE JN.,76
NERAL,76
BALUGAN,75
MACHHALANDAP,75
TIRUTTANI,75
